WKT,color
"LINESTRING (11.327319619653 49.198486843110,11.327199116634 49.198746984742)",ff0aff04
"LINESTRING (11.327319619653 49.198486843110,11.326238885805 49.198172658258)",ff79ebff
"LINESTRING (11.327319619653 49.198486843110,11.327563976108 49.198490168458)",ff0aff04
"LINESTRING (11.327199116634 49.198746984742,11.327209742509 49.198556231336)",ff7cff79
"LINESTRING (11.326827716924 49.198260975009,11.327209742509 49.198556231336)",ff7cff79
"LINESTRING (11.326827716924 49.198260975009,11.327048991976 49.198374163864)",ff0aff04
"LINESTRING (11.326827716924 49.198260975009,11.326238885805 49.198172658258)",ff7cff79
"LINESTRING (11.326827716924 49.198260975009,11.326796864332 49.198226391802)",ff0aff04
"LINESTRING (11.327209742509 49.198556231336,11.327319619653 49.198486843110)",ff0aff04
"LINESTRING (11.327209742509 49.198556231336,11.327199116634 49.198746984742)",ff0aff04
"LINESTRING (11.327209742509 49.198556231336,11.326238885805 49.198172658258)",ff79ebff
"LINESTRING (11.327209742509 49.198556231336,11.327563976108 49.198490168458)",ff7cff79
"LINESTRING (10.515806685094 50.026254851403,10.515629101714 50.026300890994)",ff79ebff
"LINESTRING (10.515806685094 50.026254851403,10.515770947097 50.026235582881)",ff0aff04
"LINESTRING (10.515806685094 50.026254851403,10.516281088853 50.025988071795)",ff0aff04
"LINESTRING (10.515806685094 50.026254851403,10.515627113639 50.026398888728)",ff7cff79
"LINESTRING (11.034862524206 49.591156311612,11.034815238260 49.591138425180)",ff0aff04
"LINESTRING (11.034862524206 49.591156311612,11.034804856712 49.591176683461)",ff0aff04
"LINESTRING (11.034862524206 49.591156311612,11.035051853818 49.591196700866)",ff0aff04
"LINESTRING (11.034862524206 49.591156311612,11.034869316514 49.591122437390)",ff0aff04
"LINESTRING (9.9276573645530 49.797143643157,9.9277198632183 49.797039586568)",ff1e1eff
"LINESTRING (9.9277198632183 49.797039586568,9.9276573645530 49.797143643157)",ff1e1eff
"LINESTRING (10.520278951355 50.035814110989,10.520344566075 50.035830938974)",ff0aff04
"LINESTRING (10.520278951355 50.035814110989,10.520334376088 50.035782787925)",ff0aff04
"LINESTRING (10.078261480686 49.139316214553,10.078174930954 49.139312572247)",ff0aff04
"LINESTRING (10.078261480686 49.139316214553,10.078316024579 49.139406582068)",ff0aff04
"LINESTRING (10.516281088853 50.025988071795,10.515629101714 50.026300890994)",ff53acff
"LINESTRING (10.516281088853 50.025988071795,10.515770947097 50.026235582881)",ff0aff04
"LINESTRING (10.516281088853 50.025988071795,10.509712821198 50.031443173406)",ff1e1eff
"LINESTRING (10.516281088853 50.025988071795,10.515806685094 50.026254851403)",ff79ebff
"LINESTRING (10.537983996327 50.100464818500,10.538239695020 50.100541284647)",ff0aff04
"LINESTRING (10.538239695020 50.100541284647,10.537983996327 50.100464818500)",ff0aff04
"LINESTRING (11.327563976108 49.198490168458,11.327209742509 49.198556231336)",ff0aff04
"LINESTRING (11.327563976108 49.198490168458,11.327319619653 49.198486843110)",ff0aff04
"LINESTRING (11.326796864332 49.198226391802,11.326827716924 49.198260975009)",ff79ebff
"LINESTRING (11.326796864332 49.198226391802,11.327048991976 49.198374163864)",ff79ebff
"LINESTRING (11.326796864332 49.198226391802,11.326238885805 49.198172658258)",ff7cff79
"LINESTRING (11.186281090055 49.780196831120,11.186340213637 49.780116162743)",ff7cff79
"LINESTRING (11.183464799335 49.785295803565,11.183526439835 49.785386061666)",ff0aff04
"LINESTRING (11.183464799335 49.785295803565,11.183690169571 49.785292369703)",ff0aff04
